book_id,goodreads_book_id,title,authors,genres
25,136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)","J.K. Rowling, Mary GrandPré","children,children-s,children-s-books,children-s-lit,children-s-literature,childrens,childrens-books,classics,contemporary,dragons,fantasy,fantasy-sci-fi,fiction,magic,middle-grade,mystery,romance,sci-fi-fantasy,science-fiction-fantasy,scifi-fantasy,teen,witches,wizards,ya,ya-fantasy,ya-fiction,young-adult,young-adult-fiction"
26,968,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,"adult-fiction,american-literature,classics,contemporary,contemporary-fiction,crime-mystery,detective,fantasy,fiction,general-fiction,historical,historical-fiction,history,literature,modern-fiction,mystery,mystery-crime,mystery-suspense,mystery-thriller,mystery-thrillers,popular-fiction,read-fiction,realistic-fiction,romance,science-fiction,suspense,suspense-thriller,thriller,thriller-mystery,thriller-suspense,thrillers"
27,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","J.K. Rowling, Mary GrandPré","children,children-s,children-s-books,children-s-lit,children-s-literature,childrens,childrens-books,classics,contemporary,fantasy,fantasy-sci-fi,fiction,magic,magical,middle-grade,mystery,romance,sci-fi-fantasy,science-fiction-fantasy,scifi-fantasy,teen,witches,wizards,ya,ya-fantasy,ya-fiction,young-adult,young-adult-fiction"
28,7624,Lord of the Flies,William Golding,"adult-fiction,british-literature,children,childrens,classic-fiction,classic-literature,classics,classics-to-read,contemporary,english-literature,fantasy,fiction,general-fiction,historical-fiction,horror,literary-fiction,literature,modern-classics,philosophy,psychology,realistic-fiction,sci-fi,science-fiction,teen,the-classics,thriller,to-read-classics,ya,young-adult"
29,18135,Romeo and Juliet,"William Shakespeare, Robert           Jackson","adult-fiction,british-literature,classic-fiction,classic-literature,classics,classics-read,classics-to-read,english-literature,fiction,general-fiction,historical,historical-fiction,historical-romance,literary-fiction,literature,poetry,romance,the-classics,ya,young-adult"
30,8442457,Gone Girl,Gillian Flynn,"adult-fiction,american-literature,contemporary,contemporary-fiction,creepy,crime,fiction,literary-fiction,mystery,mystery-suspense,mystery-thriller,mystery-thriller-horror,mystery-thriller-suspense,psychological-thriller,realistic-fiction,romance,suspense,thriller,thrillers"
31,4667024,The Help,Kathryn Stockett,"adult-fiction,american-literature,classics,contemporary,contemporary-fiction,fiction,general-fiction,historical,historical-fiction,history,literary-fiction,literature,modern-fiction,realistic-fiction,southern-fiction,young-adult"
32,890,Of Mice and Men,John Steinbeck,"adult-fiction,american-classics,american-literature,classic-fiction,classic-literature,classics,classics-read,classics-to-read,fiction,general-fiction,historical,historical-fiction,literary-fiction,literature,modern-classics,realistic-fiction,the-classics,to-read-classics,ya,young-adult"
33,930,Memoirs of a Geisha,Arthur Golden,"adult-fiction,american-literature,asian-literature,biography,classics,contemporary,contemporary-fiction,fiction,fiction-historical,general-fiction,historic-fiction,historical,historical-fiction,historical-romance,history,literary-fiction,literature,memoir,memoirs,modern-classics,modern-fiction,non-fiction,popular-fiction,realistic-fiction,romance,war"
34,10818853,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,"adult-fiction,adult-romance,contemporary,contemporary-romance,erotic-romance,fiction,realistic-fiction,romance,romance-erotica,young-adult"
35,865,The Alchemist,"Paulo Coelho, Alan R. Clarke","adult-fiction,classics,contemporary,contemporary-fiction,fantasy,fiction,general-fiction,historical-fiction,literary-fiction,literature,magical-realism,modern-classics,modern-fiction,non-fiction,philosophy,romance,to-read-fiction,young-adult"
36,3636,"The Giver (The Giver, #1)",Lois Lowry,"award-winner,award-winners,children,children-s-fiction,children-s-lit,children-s-literature,children-ya,children-young-adult,childrens,childrens-books,classics,contemporary,fantasy,fantasy-sci-fi,fiction,general-fiction,middle-grade,middle-grades,modern-fantasy,philosophy,sci-fi,science-fiction,scifi-fantasy,teen,teen-fiction,ya,ya-books,ya-dystopia,ya-fantasy,young-adult,young-adult-books,young-adult-lit,young-adult-literature"
37,100915,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,"children,children-books,children-s,children-s-books,children-s-fiction,children-s-lit,children-s-literature,children-young-adult,childrens,childrens-books,childrens-fiction,childrens-lit,childrens-literature,christian-fiction,classic-literature,classics,fantasy,fantasy-sci-fi,fantasy-scifi,fiction,juvenile-fiction,literature,magic,middle-grade,sci-fi-fantasy,science-fiction,science-fiction-fantasy,scifi-fantasy,teen,ya,ya-fantasy,ya-fiction,young-adult,young-adult-fiction"
38,14050,The Time Traveler's Wife,Audrey Niffenegger,"adult-fiction,classics,contemporary,contemporary-fiction,contemporary-romance,fantasy,fantasy-sci-fi,fiction,general-fiction,historical-fiction,literary-fiction,literature,love-story,magical-realism,modern-fiction,romance,sci-fi,sci-fi-fantasy,science-fiction,scifi,scifi-fantasy,speculative-fiction"
39,13496,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"adult-fantasy,adult-fiction,classics,contemporary,dragons,fantasy,fantasy-fiction,fantasy-sci-fi,fantasy-scifi,fiction,fiction-fantasy,historical,historical-fiction,magic,politics,romance,sci-fi,sci-fi-and-fantasy,sci-fi-fantasy,science-fiction,science-fiction-fantasy,scifi-fantasy,war"
40,19501,"Eat, Pray, Love",Elizabeth Gilbert,"adult-fiction,adult-non-fiction,adult-nonfiction,autobiography,autobiography-memoir,bio-memoir,biographies-memoirs,biography,biography-autobiography,biography-memoir,contemporary,fiction,memoir,memoir-biography,memoirs,memoirs-biographies,non-fiction,nonfiction,philosophy,romance"
41,28187,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,"children,children-s,children-s-books,children-s-lit,children-s-literature,childrens,childrens-books,contemporary,fantasy,fantasy-sci-fi,fiction,greek-mythology,juvenile-fiction,magic,middle-grade,mystery,mythology,sci-fi-fantasy,scifi-fantasy,teen,ya,ya-books,ya-fantasy,ya-fiction,ya-lit,young-adult,young-adult-fiction"
42,1934,"Little Women (Little Women, #1)",Louisa May Alcott,"adult-fiction,american-literature,children,children-s,children-s-books,children-s-lit,children-s-literature,childrens,childrens-books,civil-war,classic-fiction,classic-literature,classics,classics-to-read,fiction,general-fiction,historical,historical-fiction,history,literary-fiction,literature,middle-grade,realistic-fiction,romance,teen,the-classics,to-read-classics,ya,young-adult"
43,10210,Jane Eyre,"Charlotte Brontë, Michael Mason","classics-read,english-literature,fiction,fiction-classics,gothic,historical,historical-romance,history,literature,mystery,romance,the-classics,to-read-classics,young-adult"
44,15931,"The Notebook (The Notebook, #1)",Nicholas Sparks,"adult-fiction,adult-romance,classics,contemporary,contemporary-fiction,contemporary-romance,fiction,general-fiction,historical,historical-fiction,historical-romance,literature,love-story,realistic-fiction,romance,womens-fiction,young-adult"
45,4214,Life of Pi,Yann Martel,"adult-fiction,canadian-literature,classics,contemporary,contemporary-fiction,fantasy,fiction,general-fiction,literary-fiction,literature,magical-realism,philosophy,realistic-fiction,to-read-fiction,ya,young-adult"
46,43641,Water for Elephants,Sara Gruen,"adult-fiction,american-literature,classics,contemporary,contemporary-fiction,fiction,general-fiction,historical,historical-fiction,history,literary-fiction,love-story,modern-fiction,popular-fiction,read-fiction,romance,to-read-fiction,young-adult"
47,19063,The Book Thief,Markus Zusak,"classics,contemporary,fantasy,fiction,general-fiction,historical,historical-fiction,history,literary-fiction,literature,realistic-fiction,teen,war,world-war-2,world-war-ii,ya,ya-fiction,ya-lit,young-adult,young-adult-fiction"
48,4381,Fahrenheit 451,Ray Bradbury,"adult-fiction,american-literature,classic-fiction,classic-literature,classics,classics-to-read,fantasy,fantasy-sci-fi,fiction,general-fiction,literary-fiction,literature,modern-classics,philosophy,politics,sci-fi,sci-fi-fantasy,science-fiction,science-fiction-fantasy,scifi,scifi-fantasy,speculative-fiction,to-read-classics,ya,young-adult"
49,49041,"New Moon (Twilight, #2)",Stephenie Meyer,"contemporary,fantasy,fantasy-paranormal,fantasy-sci-fi,fiction,horror,paranormal-fantasy,paranormal-romance,romance,sci-fi,sci-fi-fantasy,science-fiction,teen,teen-fiction,ya,ya-books,ya-fantasy,ya-fiction,ya-lit,ya-paranormal,ya-romance,young-adult,young-adult-fantasy,young-adult-fiction"
50,30119,Where the Sidewalk Ends,Shel Silverstein,"children,children-books,children-s,children-s-book,children-s-books,children-s-fiction,children-s-lit,children-s-literature,children-ya,children-young-adult,childrens,childrens-book,childrens-books,childrens-lit,childrens-literature,childrensbooks,classics,fantasy,favorite-children-s-books,fiction,juvenile-fiction,literature,middle-grade,non-fiction,nonfiction,poetry,ya,young-adult"
51,256683,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,"contemporary,fantasy,fantasy-paranormal,fantasy-sci-fi,fiction,magic,mystery,paranormal-fantasy,paranormal-romance,romance,sci-fi,sci-fi-fantasy,science-fiction,teen,teen-fiction,witches,ya,ya-books,ya-fantasy,ya-fiction,ya-paranormal,young-adult,young-adult-fantasy,young-adult-fiction"
52,428263,"Eclipse (Twilight, #3)",Stephenie Meyer,"contemporary,fantasy,fantasy-paranormal,fantasy-sci-fi,fiction,horror,paranormal-fantasy,paranormal-romance,romance,sci-fi,sci-fi-fantasy,science-fiction,teen,teen-fiction,ya,ya-books,ya-fantasy,ya-fiction,ya-lit,ya-paranormal,ya-romance,young-adult,young-adult-fiction"
53,113436,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,"children,children-s,children-s-books,childrens,dragon,dragons,fantasy,fantasy-fiction,fantasy-sci-fi,fantasy-scifi,fiction,magic,middle-grade,romance,sci-fi,sci-fi-fantasy,science-fiction,science-fiction-fantasy,scifi-fantasy,teen,teen-fiction,ya,ya-books,ya-fantasy,ya-fiction,ya-lit,young-adult,young-adult-fantasy,young-adult-fiction"
54,11,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"adult-fiction,aliens,british-literature,classics,contemporary,fantasy,fantasy-sci-fi,fantasy-scifi,fiction,literature,modern-classics,sci-fi,sci-fi-and-fantasy,sci-fi-fantasy,science-fiction,science-fiction-and-fantasy,science-fiction-fantasy,scifi,scifi-fantasy,sf-fantasy,space,speculative-fiction,to-read-fiction,ya,young-adult"
55,5129,Brave New World,Aldous Huxley,"adult-fiction,british-literature,classic-fiction,classic-literature,classics,classics-to-read,english-literature,fantasy,fantasy-sci-fi,fiction,general-fiction,literary-fiction,literature,modern-classics,philosophy,politics,sci-fi,sci-fi-fantasy,science-fiction,science-fiction-fantasy,scifi,scifi-fantasy,speculative-fiction,to-read-classics,to-read-fiction,young-adult"
56,1162543,"Breaking Dawn (Twilight, #4)",Stephenie Meyer,"contemporary,contemporary-romance,fantasy,fantasy-sci-fi,fantasy-scifi,fiction,magic,paranormal-fantasy,romance,sci-fi-fantasy,science-fiction,science-fiction-fantasy,teen-books,teen-lit,teen-reads,teens,vampire-fiction,ya,ya-lit,ya-novels,ya-paranormal,ya-series,young-adult,young-adult-books,young-adult-fantasy"
57,37435,The Secret Life of Bees,Sue Monk Kidd,"adult-fiction,classics,contemporary,contemporary-fiction,fiction,fiction-general,general-fiction,historical,historical-fiction,literary-fiction,literature,modern-fiction,popular-fiction,realistic-fiction,romance,southern-fiction,southern-literature,to-read-fiction,ya,young-adult"
58,2956,The Adventures of Huckleberry Finn,"Mark Twain, John Seelye, Guy Cardwell","adult-fiction,american-classics,american-literature,children,children-s,children-s-books,children-s-literature,childrens,childrens-books,classic-fiction,classic-literature,classics,classics-to-read,fiction,general-fiction,historical,historical-fiction,history,literary-fiction,literature,realistic-fiction,teen,the-classics,to-read-classics,ya,young-adult"
59,24178,Charlotte's Web,"E.B. White, Garth Williams, Rosemary Wells","children,children-books,children-s,children-s-book,children-s-books,children-s-classics,children-s-fiction,children-s-lit,children-s-literature,children-ya,children-young-adult,childrens,childrens-books,childrens-classics,childrens-fiction,childrens-lit,childrens-literature,classic-literature,classics,fantasy,fantasy-sci-fi,favorite-children-s-books,fiction,juvenile-fiction,literature,middle-grade,realistic-fiction,ya,young-adult"
60,1618,The Curious Incident of the Dog in the Night-Time,Mark Haddon,"adult-fiction,alex-award,classics,contemporary,contemporary-fiction,contemporary-lit,crime,fiction,fiction-literature,fiction-to-read,general-fiction,literary-fiction,literature,literature-fiction,mystery,popular-fiction,psychology,realistic-fiction,suspense,ya,young-adult"
61,22557272,The Girl on the Train,Paula Hawkins,"adult-fiction,contemporary,contemporary-fiction,crime,crime-mystery,crime-thriller,fiction,general-fiction,murder-mystery,mystery,mystery-crime,mystery-suspense,mystery-thriller,psychological-thriller,realistic-fiction,suspense,suspense-thriller,thriller,thriller-mystery,thriller-suspense,thrillers"
62,119322,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,"children,children-s,children-s-books,children-s-lit,children-s-literature,children-ya,children-young-adult,childrens,childrens-books,classics,fantasy,fantasy-fiction,fantasy-sci-fi,fantasy-scifi,fiction,literature,magic,middle-grade,mystery,sci-fi,sci-fi-and-fantasy,sci-fi-fantasy,science-fiction,science-fiction-fantasy,scifi,scifi-fantasy,speculative-fiction,teen,ya,ya-books,ya-fantasy,ya-fiction,ya-lit,young-adult,young-adult-fantasy,young-adult-fiction"
63,6185,Wuthering Heights,"Emily Brontë, Richard J. Dunn","adult-fiction,british-literature,classic-fiction,classic-literature,classics,classics-to-read,english-literature,fiction,general-fiction,gothic,historical,historical-fiction,historical-romance,literary-fiction,literature,romance,the-classics,to-read-classics"
64,10917,My Sister's Keeper,Jodi Picoult,"adult-fiction,contemporary,contemporary-fiction,fiction,general-fiction,literary-fiction,literature,modern-fiction,popular-fiction,realistic-fiction,romance,women-s-fiction,womens-fiction,ya,young-adult"
65,4981,Slaughterhouse-Five,Kurt Vonnegut Jr.,"adult-fiction,aliens,american-literature,classic-fiction,classic-literature,classics,classics-to-read,contemporary,fantasy,fantasy-sci-fi,fiction,general-fiction,historical,historical-fiction,history,literary-fiction,literature,modern-classics,philosophy,sci-fi,sci-fi-fantasy,science-fiction,scifi,scifi-fantasy,speculative-fiction,to-read-classics,to-read-fiction,war,world-war-ii"
66,18405,Gone with the Wind,Margaret Mitchell,"adult-fiction,american-classics,american-literature,civil-war,classic-fiction,classic-literature,classics,classics-to-read,fiction,fiction-historical,general-fiction,historical,historical-fiction,historical-romance,history,literary-fiction,literature,modern-classics,romance,southern-fiction,the-classics,to-read-classics,to-read-fiction,war"
67,128029,A Thousand Splendid Suns,Khaled Hosseini,"adult-fiction,classics,contemporary,contemporary-fiction,fiction,general-fiction,historical,historical-fiction,history,literary-fiction,literature,modern-fiction,non-fiction,realistic-fiction,romance,to-read-fiction,war,young-adult"
68,22628,The Perks of Being a Wallflower,Stephen Chbosky,"classics,contemporary,contemporary-fiction,fiction,general-fiction,literature,realistic-fiction,teen,teen-fiction,ya,ya-books,ya-contemporary,ya-fiction,ya-lit,young-adult,young-adult-fiction"
69,11735983,"Insurgent (Divergent, #2)",Veronica Roth,"fantasy,fantasy-sci-fi,fiction,romance,sci-fi,sci-fi-fantasy,science-fiction,scifi,teen,teen-fiction,war,ya,ya-books,ya-dystopia,ya-fantasy,ya-fiction,ya-lit,young-adult,young-adult-fiction"
70,375802,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,"adult-fiction,aliens,children,childrens,classics,fantasy,fantasy-sci-fi,fantasy-scifi,fiction,hugo-award,literature,military,sci-fi,sci-fi-and-fantasy,sci-fi-fantasy,science-fiction,science-fiction-fantasy,sciencefiction,scifi,scifi-fantasy,sf-fantasy,space,speculative-fiction,teen,war,ya,ya-fiction,ya-lit,young-adult,young-adult-fiction"
71,18490,Frankenstein,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle","adult-fiction,british-literature,classic-fiction,classic-literature,classics,classics-to-read,english-literature,fantasy,fantasy-sci-fi,fiction,general-fiction,gothic,gothic-horror,historical,historical-fiction,horror,literary-fiction,literature,mystery,sci-fi,sci-fi-fantasy,scifi,scifi-fantasy,speculative-fiction,the-classics,thriller,to-read-classics"
72,11588,The Shining (The Shining #1),Stephen King,"adult-fiction,american-literature,contemporary,contemporary-fiction,creepy,fantasy,fiction,fiction-horror,general-fiction,ghost,ghosts,horror-fiction,horror-suspense,horror-thriller,literature,mystery,mystery-suspense,mystery-thriller,sci-fi,sci-fi-fantasy,science-fiction,suspense,suspense-thriller,thriller-horror,thrillers"
73,1656001,"The Host (The Host, #1)",Stephenie Meyer,"adult-fiction,aliens,contemporary,fantasy,fantasy-sci-fi,fiction,paranormal-romance,romance,sci-fi,sci-fi-fantasy,science-fiction,science-fiction-fantasy,scifi,scifi-fantasy,suspense,teen,thriller,ya,ya-fantasy,ya-fiction,young-adult,young-adult-fiction"
74,99561,Looking for Alaska,John Green,"contemporary,contemporary-fiction,fiction,mystery,printz-award,realistic-fiction,romance,teen,teen-fiction,ya,ya-books,ya-contemporary,ya-fiction,ya-lit,young-adult,young-adult-fiction"
75,227443,"Bridget Jones's Diary (Bridget Jones, #1)",Helen Fielding,"adult-fiction,british-literature,classics,contemporary,contemporary-fiction,contemporary-romance,fiction,general-fiction,literature,modern-fiction,popular-fiction,realistic-fiction,romance,women-s-fiction,womens-fiction"
76,14935,Sense and Sensibility,"Jane Austen, Tony Tanner, Ros Ballaster","adult-fiction,british-literature,classic-fiction,classic-literature,classics-read,classics-to-read,english-classics,english-literature,fiction,general-fiction,historical-fiction,historical-romance,history,literary-fiction,literature,the-classics,to-read-classics"
77,38709,"Holes (Holes, #1)","Louis Sachar, Louis Sachar","award-winners,children,children-s,children-s-books,children-s-fiction,children-s-lit,children-s-literature,childrens,childrens-books,childrens-fiction,childrens-lit,childrens-literature,classics,contemporary,contemporary-fiction,contemporary-realistic-fiction,crime,fantasy,fiction,general-fiction,juvenile-fiction,middle-grade,mystery,newbery-award,realistic-fiction,teen,ya,ya-books,ya-fiction,ya-lit,young-adult,young-adult-fiction,young-adult-lit"
78,5139,"The Devil Wears Prada (The Devil Wears Prada, #1)",Lauren Weisberger,"adult-fiction,classics,contemporary,contemporary-fiction,contemporary-romance,fiction,general-fiction,literature,modern-fiction,popular-fiction,realistic-fiction,romance,women-s-fiction,womens-fiction,young-adult"
79,1381,The Odyssey,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox","adult-fiction,ancient-history,classic-fiction,classic-literature,classical-literature,classics,classics-to-read,fantasy,fiction,fiction-classics,general-fiction,greek-mythology,historical,historical-fiction,history,literary-fiction,literature,mythology,non-fiction,philosophy,poetry,the-classics,to-read-classics,war"
80,157993,The Little Prince,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta","children,children-books,children-s,children-s-books,children-s-lit,children-s-literature,children-young-adult,childrens,childrens-books,childrens-lit,childrens-literature,classic-literature,classics,classics-to-read,fairy-tales,fantasy,fiction,french-literature,literature,philosophy,sci-fi,science-fiction,ya,young-adult"
81,7445,The Glass Castle,Jeannette Walls,"adult-fiction,adult-non-fiction,adult-nonfiction,autobiography,autobiography-memoir,bio-memoir,biographies-memoirs,biography,biography-autobiography,biography-memoir,classics,contemporary,fiction,literature,memoir,memoir-autobiography,memoir-bio,memoir-biography,memoirs,memoirs-biographies,non-fiction,nonfiction,psychology,young-adult"
