book_id,goodreads_book_id,genres
17,6148028,"contemporary,fantasy,fantasy-sci-fi,fiction,romance,sci-fi,sci-fi-fantasy,science-fiction,scifi,scifi-fantasy,speculative-fiction,suspense,teen,teen-fiction,thriller,ya,ya-books,ya-fantasy,ya-fiction,ya-lit,young-adult,young-adult-fiction"
18,5,"children,children-s,children-s-books,children-s-lit,children-s-literature,childrens,childrens-books,classics,contemporary,fantasy,fantasy-sci-fi,fiction,magic,middle-grade,mystery,sci-fi-fantasy,science-fiction-fantasy,scifi-fantasy,teen,witches,wizards,ya,ya-fantasy,ya-fiction,young-adult,young-adult-fiction"
19,34,"adult-fiction,british-literature,classic-literature,classics,fantasy,fantasy-and-sci-fi,fantasy-fiction,fantasy-science-fiction,fantasy-scifi,fiction,fiction-fantasy,literature,magic,modern-classics,sci-fi,sci-fi-and-fantasy,sci-fi-fantasy,science-fiction,science-fiction-fantasy,sf-fantasy,speculative-fiction,war,ya,young-adult"
20,7260188,"fantasy,fantasy-sci-fi,fiction,romance,sci-fi,sci-fi-fantasy,science-fiction,scifi,scifi-fantasy,speculative-fiction,suspense,teen,teen-fiction,thriller,war,ya,ya-books,ya-fantasy,ya-fiction,ya-lit,young-adult,young-adult-fiction"
21,2,"british-literature,children,children-s,children-s-lit,children-s-literature,children-young-adult,childrens-books,childrens-lit,fantasy,fantasy-fiction,fantasy-sci-fi,fantasy-scifi,fiction,fiction-fantasy,juvenile-fiction,magic,magical,mystery,romance,sci-fi,science-fiction-fantasy,scifi-fantasy,teen,witches,wizards,ya,ya-books,ya-fantasy,ya-fiction,ya-lit,young-adult,young-adult-fantasy,young-adult-fiction"
22,12232938,"adult-fiction,classics,contemporary,contemporary-fiction,crime,crime-mystery,fantasy,fiction,general-fiction,ghosts,horror,literary-fiction,literature,magical-realism,modern-fiction,murder-mystery,mystery,mystery-suspense,mystery-thriller,realistic-fiction,romance,suspense,thriller,ya,young-adult"
23,15881,"children,children-s,children-s-books,children-s-lit,children-s-literature,childrens,childrens-books,classics,contemporary,fantasy,fantasy-sci-fi,fantasy-scifi,fiction,magic,middle-grade,mystery,sci-fi-fantasy,science-fiction-fantasy,scifi-fantasy,teen,witches,wizards,ya,ya-fantasy,ya-fiction,young-adult,young-adult-fiction"
24,6,"children,children-s,children-s-books,children-s-lit,children-s-literature,childrens,childrens-books,classics,contemporary,dragons,fantasy,fantasy-sci-fi,fantasy-scifi,fiction,middle-grade,mystery,sci-fi-fantasy,science-fiction-fantasy,scifi-fantasy,teen,witches,wizards,ya,ya-fantasy,ya-fiction,young-adult,young-adult-fiction"
25,136251,"children,children-s,children-s-books,children-s-lit,children-s-literature,childrens,childrens-books,classics,contemporary,dragons,fantasy,fantasy-sci-fi,fiction,magic,middle-grade,mystery,romance,sci-fi-fantasy,science-fiction-fantasy,scifi-fantasy,teen,witches,wizards,ya,ya-fantasy,ya-fiction,young-adult,young-adult-fiction"
26,968,"adult-fiction,american-literature,classics,contemporary,contemporary-fiction,crime-mystery,detective,fantasy,fiction,general-fiction,historical,historical-fiction,history,literature,modern-fiction,mystery,mystery-crime,mystery-suspense,mystery-thriller,mystery-thrillers,popular-fiction,read-fiction,realistic-fiction,romance,science-fiction,suspense,suspense-thriller,thriller,thriller-mystery,thriller-suspense,thrillers"
27,1,"children,children-s,children-s-books,children-s-lit,children-s-literature,childrens,childrens-books,classics,contemporary,fantasy,fantasy-sci-fi,fiction,magic,magical,middle-grade,mystery,romance,sci-fi-fantasy,science-fiction-fantasy,scifi-fantasy,teen,witches,wizards,ya,ya-fantasy,ya-fiction,young-adult,young-adult-fiction"
28,7624,"adult-fiction,british-literature,children,childrens,classic-fiction,classic-literature,classics,classics-to-read,contemporary,english-literature,fantasy,fiction,general-fiction,historical-fiction,horror,literary-fiction,literature,modern-classics,philosophy,psychology,realistic-fiction,sci-fi,science-fiction,teen,the-classics,thriller,to-read-classics,ya,young-adult"
29,18135,"adult-fiction,british-literature,classic-fiction,classic-literature,classics,classics-read,classics-to-read,english-literature,fiction,general-fiction,historical,historical-fiction,historical-romance,literary-fiction,literature,poetry,romance,the-classics,ya,young-adult"
30,8442457,"adult-fiction,american-literature,contemporary,contemporary-fiction,creepy,crime,fiction,literary-fiction,mystery,mystery-suspense,mystery-thriller,mystery-thriller-horror,mystery-thriller-suspense,psychological-thriller,realistic-fiction,romance,suspense,thriller,thrillers"
31,4667024,"adult-fiction,american-literature,classics,contemporary,contemporary-fiction,fiction,general-fiction,historical,historical-fiction,history,literary-fiction,literature,modern-fiction,realistic-fiction,southern-fiction,young-adult"
32,890,"adult-fiction,american-classics,american-literature,classic-fiction,classic-literature,classics,classics-read,classics-to-read,fiction,general-fiction,historical,historical-fiction,literary-fiction,literature,modern-classics,realistic-fiction,the-classics,to-read-classics,ya,young-adult"
33,930,"adult-fiction,american-literature,asian-literature,biography,classics,contemporary,contemporary-fiction,fiction,fiction-historical,general-fiction,historic-fiction,historical,historical-fiction,historical-romance,history,literary-fiction,literature,memoir,memoirs,modern-classics,modern-fiction,non-fiction,popular-fiction,realistic-fiction,romance,war"
34,10818853,"adult-fiction,adult-romance,contemporary,contemporary-romance,erotic-romance,fiction,realistic-fiction,romance,romance-erotica,young-adult"
35,865,"adult-fiction,classics,contemporary,contemporary-fiction,fantasy,fiction,general-fiction,historical-fiction,literary-fiction,literature,magical-realism,modern-classics,modern-fiction,non-fiction,philosophy,romance,to-read-fiction,young-adult"
36,3636,"award-winner,award-winners,children,children-s-fiction,children-s-lit,children-s-literature,children-ya,children-young-adult,childrens,childrens-books,classics,contemporary,fantasy,fantasy-sci-fi,fiction,general-fiction,middle-grade,middle-grades,modern-fantasy,philosophy,sci-fi,science-fiction,scifi-fantasy,teen,teen-fiction,ya,ya-books,ya-dystopia,ya-fantasy,young-adult,young-adult-books,young-adult-lit,young-adult-literature"
37,100915,"children,children-books,children-s,children-s-books,children-s-fiction,children-s-lit,children-s-literature,children-young-adult,childrens,childrens-books,childrens-fiction,childrens-lit,childrens-literature,christian-fiction,classic-literature,classics,fantasy,fantasy-sci-fi,fantasy-scifi,fiction,juvenile-fiction,literature,magic,middle-grade,sci-fi-fantasy,science-fiction,science-fiction-fantasy,scifi-fantasy,teen,ya,ya-fantasy,ya-fiction,young-adult,young-adult-fiction"
38,14050,"adult-fiction,classics,contemporary,contemporary-fiction,contemporary-romance,fantasy,fantasy-sci-fi,fiction,general-fiction,historical-fiction,literary-fiction,literature,love-story,magical-realism,modern-fiction,romance,sci-fi,sci-fi-fantasy,science-fiction,scifi,scifi-fantasy,speculative-fiction"
39,13496,"adult-fantasy,adult-fiction,classics,contemporary,dragons,fantasy,fantasy-fiction,fantasy-sci-fi,fantasy-scifi,fiction,fiction-fantasy,historical,historical-fiction,magic,politics,romance,sci-fi,sci-fi-and-fantasy,sci-fi-fantasy,science-fiction,science-fiction-fantasy,scifi-fantasy,war"
40,19501,"adult-fiction,adult-non-fiction,adult-nonfiction,autobiography,autobiography-memoir,bio-memoir,biographies-memoirs,biography,biography-autobiography,biography-memoir,contemporary,fiction,memoir,memoir-biography,memoirs,memoirs-biographies,non-fiction,nonfiction,philosophy,romance"
41,28187,"children,children-s,children-s-books,children-s-lit,children-s-literature,childrens,childrens-books,contemporary,fantasy,fantasy-sci-fi,fiction,greek-mythology,juvenile-fiction,magic,middle-grade,mystery,mythology,sci-fi-fantasy,scifi-fantasy,teen,ya,ya-books,ya-fantasy,ya-fiction,ya-lit,young-adult,young-adult-fiction"
42,1934,"adult-fiction,american-literature,children,children-s,children-s-books,children-s-lit,children-s-literature,childrens,childrens-books,civil-war,classic-fiction,classic-literature,classics,classics-to-read,fiction,general-fiction,historical,historical-fiction,history,literary-fiction,literature,middle-grade,realistic-fiction,romance,teen,the-classics,to-read-classics,ya,young-adult"
43,10210,"classics-read,english-literature,fiction,fiction-classics,gothic,historical,historical-romance,history,literature,mystery,romance,the-classics,to-read-classics,young-adult"
44,15931,"adult-fiction,adult-romance,classics,contemporary,contemporary-fiction,contemporary-romance,fiction,general-fiction,historical,historical-fiction,historical-romance,literature,love-story,realistic-fiction,romance,womens-fiction,young-adult"
45,4214,"adult-fiction,canadian-literature,classics,contemporary,contemporary-fiction,fantasy,fiction,general-fiction,literary-fiction,literature,magical-realism,philosophy,realistic-fiction,to-read-fiction,ya,young-adult"
46,43641,"adult-fiction,american-literature,classics,contemporary,contemporary-fiction,fiction,general-fiction,historical,historical-fiction,history,literary-fiction,love-story,modern-fiction,popular-fiction,read-fiction,romance,to-read-fiction,young-adult"
47,19063,"classics,contemporary,fantasy,fiction,general-fiction,historical,historical-fiction,history,literary-fiction,literature,realistic-fiction,teen,war,world-war-2,world-war-ii,ya,ya-fiction,ya-lit,young-adult,young-adult-fiction"
48,4381,"adult-fiction,american-literature,classic-fiction,classic-literature,classics,classics-to-read,fantasy,fantasy-sci-fi,fiction,general-fiction,literary-fiction,literature,modern-classics,philosophy,politics,sci-fi,sci-fi-fantasy,science-fiction,science-fiction-fantasy,scifi,scifi-fantasy,speculative-fiction,to-read-classics,ya,young-adult"
49,49041,"contemporary,fantasy,fantasy-paranormal,fantasy-sci-fi,fiction,horror,paranormal-fantasy,paranormal-romance,romance,sci-fi,sci-fi-fantasy,science-fiction,teen,teen-fiction,ya,ya-books,ya-fantasy,ya-fiction,ya-lit,ya-paranormal,ya-romance,young-adult,young-adult-fantasy,young-adult-fiction"
50,30119,"children,children-books,children-s,children-s-book,children-s-books,children-s-fiction,children-s-lit,children-s-literature,children-ya,children-young-adult,childrens,childrens-book,childrens-books,childrens-lit,childrens-literature,childrensbooks,classics,fantasy,favorite-children-s-books,fiction,juvenile-fiction,literature,middle-grade,non-fiction,nonfiction,poetry,ya,young-adult"
51,256683,"contemporary,fantasy,fantasy-paranormal,fantasy-sci-fi,fiction,magic,mystery,paranormal-fantasy,paranormal-romance,romance,sci-fi,sci-fi-fantasy,science-fiction,teen,teen-fiction,witches,ya,ya-books,ya-fantasy,ya-fiction,ya-paranormal,young-adult,young-adult-fantasy,young-adult-fiction"
52,428263,"contemporary,fantasy,fantasy-paranormal,fantasy-sci-fi,fiction,horror,paranormal-fantasy,paranormal-romance,romance,sci-fi,sci-fi-fantasy,science-fiction,teen,teen-fiction,ya,ya-books,ya-fantasy,ya-fiction,ya-lit,ya-paranormal,ya-romance,young-adult,young-adult-fiction"
53,113436,"children,children-s,children-s-books,childrens,dragon,dragons,fantasy,fantasy-fiction,fantasy-sci-fi,fantasy-scifi,fiction,magic,middle-grade,romance,sci-fi,sci-fi-fantasy,science-fiction,science-fiction-fantasy,scifi-fantasy,teen,teen-fiction,ya,ya-books,ya-fantasy,ya-fiction,ya-lit,young-adult,young-adult-fantasy,young-adult-fiction"
54,11,"adult-fiction,aliens,british-literature,classics,contemporary,fantasy,fantasy-sci-fi,fantasy-scifi,fiction,literature,modern-classics,sci-fi,sci-fi-and-fantasy,sci-fi-fantasy,science-fiction,science-fiction-and-fantasy,science-fiction-fantasy,scifi,scifi-fantasy,sf-fantasy,space,speculative-fiction,to-read-fiction,ya,young-adult"
55,5129,"adult-fiction,british-literature,classic-fiction,classic-literature,classics,classics-to-read,english-literature,fantasy,fantasy-sci-fi,fiction,general-fiction,literary-fiction,literature,modern-classics,philosophy,politics,sci-fi,sci-fi-fantasy,science-fiction,science-fiction-fantasy,scifi,scifi-fantasy,speculative-fiction,to-read-classics,to-read-fiction,young-adult"
56,1162543,"contemporary,contemporary-romance,fantasy,fantasy-sci-fi,fantasy-scifi,fiction,magic,paranormal-fantasy,romance,sci-fi-fantasy,science-fiction,science-fiction-fantasy,teen-books,teen-lit,teen-reads,teens,vampire-fiction,ya,ya-lit,ya-novels,ya-paranormal,ya-series,young-adult,young-adult-books,young-adult-fantasy"
57,37435,"adult-fiction,classics,contemporary,contemporary-fiction,fiction,fiction-general,general-fiction,historical,historical-fiction,literary-fiction,literature,modern-fiction,popular-fiction,realistic-fiction,romance,southern-fiction,southern-literature,to-read-fiction,ya,young-adult"
58,2956,"adult-fiction,american-classics,american-literature,children,children-s,children-s-books,children-s-literature,childrens,childrens-books,classic-fiction,classic-literature,classics,classics-to-read,fiction,general-fiction,historical,historical-fiction,history,literary-fiction,literature,realistic-fiction,teen,the-classics,to-read-classics,ya,young-adult"
59,24178,"children,children-books,children-s,children-s-book,children-s-books,children-s-classics,children-s-fiction,children-s-lit,children-s-literature,children-ya,children-young-adult,childrens,childrens-books,childrens-classics,childrens-fiction,childrens-lit,childrens-literature,classic-literature,classics,fantasy,fantasy-sci-fi,favorite-children-s-books,fiction,juvenile-fiction,literature,middle-grade,realistic-fiction,ya,young-adult"
60,1618,"adult-fiction,alex-award,classics,contemporary,contemporary-fiction,contemporary-lit,crime,fiction,fiction-literature,fiction-to-read,general-fiction,literary-fiction,literature,literature-fiction,mystery,popular-fiction,psychology,realistic-fiction,suspense,ya,young-adult"
61,22557272,"adult-fiction,contemporary,contemporary-fiction,crime,crime-mystery,crime-thriller,fiction,general-fiction,murder-mystery,mystery,mystery-crime,mystery-suspense,mystery-thriller,psychological-thriller,realistic-fiction,suspense,suspense-thriller,thriller,thriller-mystery,thriller-suspense,thrillers"
62,119322,"children,children-s,children-s-books,children-s-lit,children-s-literature,children-ya,children-young-adult,childrens,childrens-books,classics,fantasy,fantasy-fiction,fantasy-sci-fi,fantasy-scifi,fiction,literature,magic,middle-grade,mystery,sci-fi,sci-fi-and-fantasy,sci-fi-fantasy,science-fiction,science-fiction-fantasy,scifi,scifi-fantasy,speculative-fiction,teen,ya,ya-books,ya-fantasy,ya-fiction,ya-lit,young-adult,young-adult-fantasy,young-adult-fiction"
63,6185,"adult-fiction,british-literature,classic-fiction,classic-literature,classics,classics-to-read,english-literature,fiction,general-fiction,gothic,historical,historical-fiction,historical-romance,literary-fiction,literature,romance,the-classics,to-read-classics"
64,10917,"adult-fiction,contemporary,contemporary-fiction,fiction,general-fiction,literary-fiction,literature,modern-fiction,popular-fiction,realistic-fiction,romance,women-s-fiction,womens-fiction,ya,young-adult"
65,4981,"adult-fiction,aliens,american-literature,classic-fiction,classic-literature,classics,classics-to-read,contemporary,fantasy,fantasy-sci-fi,fiction,general-fiction,historical,historical-fiction,history,literary-fiction,literature,modern-classics,philosophy,sci-fi,sci-fi-fantasy,science-fiction,scifi,scifi-fantasy,speculative-fiction,to-read-classics,to-read-fiction,war,world-war-ii"
66,18405,"adult-fiction,american-classics,american-literature,civil-war,classic-fiction,classic-literature,classics,classics-to-read,fiction,fiction-historical,general-fiction,historical,historical-fiction,historical-romance,history,literary-fiction,literature,modern-classics,romance,southern-fiction,the-classics,to-read-classics,to-read-fiction,war"
67,128029,"adult-fiction,classics,contemporary,contemporary-fiction,fiction,general-fiction,historical,historical-fiction,history,literary-fiction,literature,modern-fiction,non-fiction,realistic-fiction,romance,to-read-fiction,war,young-adult"
68,22628,"classics,contemporary,contemporary-fiction,fiction,general-fiction,literature,realistic-fiction,teen,teen-fiction,ya,ya-books,ya-contemporary,ya-fiction,ya-lit,young-adult,young-adult-fiction"
69,11735983,"fantasy,fantasy-sci-fi,fiction,romance,sci-fi,sci-fi-fantasy,science-fiction,scifi,teen,teen-fiction,war,ya,ya-books,ya-dystopia,ya-fantasy,ya-fiction,ya-lit,young-adult,young-adult-fiction"
70,375802,"adult-fiction,aliens,children,childrens,classics,fantasy,fantasy-sci-fi,fantasy-scifi,fiction,hugo-award,literature,military,sci-fi,sci-fi-and-fantasy,sci-fi-fantasy,science-fiction,science-fiction-fantasy,sciencefiction,scifi,scifi-fantasy,sf-fantasy,space,speculative-fiction,teen,war,ya,ya-fiction,ya-lit,young-adult,young-adult-fiction"
71,18490,"adult-fiction,british-literature,classic-fiction,classic-literature,classics,classics-to-read,english-literature,fantasy,fantasy-sci-fi,fiction,general-fiction,gothic,gothic-horror,historical,historical-fiction,horror,literary-fiction,literature,mystery,sci-fi,sci-fi-fantasy,scifi,scifi-fantasy,speculative-fiction,the-classics,thriller,to-read-classics"
72,11588,"adult-fiction,american-literature,contemporary,contemporary-fiction,creepy,fantasy,fiction,fiction-horror,general-fiction,ghost,ghosts,horror-fiction,horror-suspense,horror-thriller,literature,mystery,mystery-suspense,mystery-thriller,sci-fi,sci-fi-fantasy,science-fiction,suspense,suspense-thriller,thriller-horror,thrillers"
73,1656001,"adult-fiction,aliens,contemporary,fantasy,fantasy-sci-fi,fiction,paranormal-romance,romance,sci-fi,sci-fi-fantasy,science-fiction,science-fiction-fantasy,scifi,scifi-fantasy,suspense,teen,thriller,ya,ya-fantasy,ya-fiction,young-adult,young-adult-fiction"
74,99561,"contemporary,contemporary-fiction,fiction,mystery,printz-award,realistic-fiction,romance,teen,teen-fiction,ya,ya-books,ya-contemporary,ya-fiction,ya-lit,young-adult,young-adult-fiction"
75,227443,"adult-fiction,british-literature,classics,contemporary,contemporary-fiction,contemporary-romance,fiction,general-fiction,literature,modern-fiction,popular-fiction,realistic-fiction,romance,women-s-fiction,womens-fiction"
76,14935,"adult-fiction,british-literature,classic-fiction,classic-literature,classics-read,classics-to-read,english-classics,english-literature,fiction,general-fiction,historical-fiction,historical-romance,history,literary-fiction,literature,the-classics,to-read-classics"
77,38709,"award-winners,children,children-s,children-s-books,children-s-fiction,children-s-lit,children-s-literature,childrens,childrens-books,childrens-fiction,childrens-lit,childrens-literature,classics,contemporary,contemporary-fiction,contemporary-realistic-fiction,crime,fantasy,fiction,general-fiction,juvenile-fiction,middle-grade,mystery,newbery-award,realistic-fiction,teen,ya,ya-books,ya-fiction,ya-lit,young-adult,young-adult-fiction,young-adult-lit"
78,5139,"adult-fiction,classics,contemporary,contemporary-fiction,contemporary-romance,fiction,general-fiction,literature,modern-fiction,popular-fiction,realistic-fiction,romance,women-s-fiction,womens-fiction,young-adult"
79,1381,"adult-fiction,ancient-history,classic-fiction,classic-literature,classical-literature,classics,classics-to-read,fantasy,fiction,fiction-classics,general-fiction,greek-mythology,historical,historical-fiction,history,literary-fiction,literature,mythology,non-fiction,philosophy,poetry,the-classics,to-read-classics,war"
80,157993,"children,children-books,children-s,children-s-books,children-s-lit,children-s-literature,children-young-adult,childrens,childrens-books,childrens-lit,childrens-literature,classic-literature,classics,classics-to-read,fairy-tales,fantasy,fiction,french-literature,literature,philosophy,sci-fi,science-fiction,ya,young-adult"
81,7445,"adult-fiction,adult-non-fiction,adult-nonfiction,autobiography,autobiography-memoir,bio-memoir,biographies-memoirs,biography,biography-autobiography,biography-memoir,classics,contemporary,fiction,literature,memoir,memoir-autobiography,memoir-bio,memoir-biography,memoirs,memoirs-biographies,non-fiction,nonfiction,psychology,young-adult"
82,1845,"adult-non-fiction,adult-nonfiction,american-literature,autobiography,bio-memoir,biographies-memoirs,biography,biography-autobiography,biography-memoir,classics,contemporary,fiction,history,literature,memoir,memoir-biography,memoirs,non-fiction,nonfiction,philosophy,to-read-non-fiction,young-adult"
83,1953,"adult-fiction,british-literature,classic-fiction,classic-literature,classics,classics-to-read,english-literature,fiction,fiction-classics,general-fiction,historical,historical-fiction,history,literary-fiction,literature,romance,the-classics,to-read-classics,to-read-fiction,war,young-adult"
84,7677,"adult-fiction,classics,contemporary,contemporary-fiction,fantasy,fantasy-sci-fi,fantasy-scifi,fiction,general-fiction,horror,literature,modern-fiction,mystery,mystery-thriller,popular-fiction,sci-fi,sci-fi-and-fantasy,sci-fi-fantasy,science-fiction,science-fiction-fantasy,scifi,scifi-fantasy,speculative-fiction,suspense,suspense-thriller,techno-thriller,thriller,thriller-suspense,thrillers,young-adult"
85,370493,"children,children-books,children-s,children-s-book,children-s-books,children-s-classics,children-s-fiction,children-s-lit,children-s-literature,children-s-picture-books,children-ya,children-young-adult,childrens,childrens-book,childrens-books,childrens-fiction,childrens-lit,childrens-literature,childrens-picture-books,childrensbooks,classics,fantasy,favorite-children-s-books,fiction,juvenile-fiction,literature,middle-grade,philosophy,poetry,ya,young-adult"
86,32542,"adult-fiction,classics,contemporary,contemporary-fiction,crime,crime-mystery,crime-mystery-thriller,crime-thriller,fiction,general-fiction,historical-fiction,legal-fiction,legal-thriller,legal-thrillers,literature,modern-fiction,mysteries-thrillers,mystery,mystery-crime,mystery-suspense,mystery-thriller,mystery-thriller-suspense,mystery-thrillers,popular-fiction,realistic-fiction,suspense,suspense-mystery,suspense-thriller,thriller,thriller-mystery,thriller-suspense,thrillers"
87,1617,"autobiography,autobiography-memoir,bio-memoir,biographies-memoirs,biography,biography-autobiography,biography-memoir,classic-literature,classics,contemporary,fiction,historical,historical-fiction,historical-non-fiction,history,horror,literature,memoir,memoir-biography,memoirs,non-fiction,nonfiction,philosophy,war,world-war-2,world-war-ii,ya,young-adult"
88,6442769,"contemporary,contemporary-ya,fiction,mystery,realistic-fiction,romance,teen,teen-fiction,ya,ya-books,ya-contemporary,ya-lit,young-adult,young-adult-fiction,young-adult-lit,young-adults"
89,21787,"adult-fiction,children,children-s,children-s-books,childrens,classic-literature,contemporary,fantasy,fantasy-scifi,fiction-fantasy,general-fiction,genre-fantasy,historical,historical-fiction,historical-romance,literature,modern-classics,sci-fi,sci-fi-and-fantasy,sci-fi-fantasy,science-fiction,speculative-fiction,teen,to-read-classics,to-read-fantasy,to-read-fiction,ya,ya-fantasy"
90,231804,"children,children-s,children-s-books,childrens,classics,contemporary,crime,fiction,general-fiction,historical,historical-fiction,literature,middle-grade,modern-classics,realistic-fiction,teen,teen-fiction,ya,ya-books,ya-fiction,ya-lit,young-adult,young-adult-fiction,young-adult-lit"
91,6186357,"fantasy,fantasy-sci-fi,fiction,mystery,romance,sci-fi,sci-fi-fantasy,science-fiction,scifi,suspense,teen,teen-fiction,thriller,ya,ya-books,ya-fantasy,ya-fiction,ya-lit,young-adult,young-adult-fiction"
92,1202,"adult-non-fiction,adult-nonfiction,behavioral-economics,business-economics,contemporary,economics,economics-business,fiction,general-non-fiction,history,non-fiction,non-fiction-to-read,nonfiction,other-non-fiction,philosophy,politics,psychology,read-non-fiction,to-read-non-fiction,to-read-nonfiction"
93,2998,"british-literature,children,children-books,children-s,children-s-books,children-s-classics,children-s-fiction,children-s-lit,children-s-literature,children-ya,children-young-adult,childrens,childrens-books,childrens-classics,childrens-fiction,childrens-lit,childrens-literature,classic-fiction,classic-literature,classics,classics-to-read,fantasy,fiction,general-fiction,historical,historical-fiction,juvenile-fiction,literature,middle-grade,mystery,realistic-fiction,the-classics,to-read-classics,ya,young-adult"
94,320,"adult-fiction,classic-fiction,classic-literature,classics,classics-to-read,contemporary,contemporary-fiction,fiction,fiction-to-read,general-fiction,historical,latin-american-literature,literary-fiction,literature,magic-realism,magical-realism,romance,spanish-literature,to-read-classics,to-read-fiction,world-literature"
95,5297,"adult-fiction,british-literature,classic-fiction,classic-literature,classics,classics-to-read,english-literature,fantasy,fiction,general-fiction,gothic,historical,historical-fiction,horror,irish-literature,literary-fiction,literature,magical-realism,mystery,philosophy,the-classics,to-read-classics"
96,13536860,"adult-fiction,adult-romance,contemporary,contemporary-romance,erotic-romance,fantasy,fiction,romance,romance-erotica"
